Entity,Code,Year,"Sustainable Development Goals (SDG) Regions",GoverningCountry
"Hong Kong",HKG,2024,"Eastern and South-Eastern Asia","Hong Kong"
Hungary,HUN,2024,"Europe and Northern America",Hungary
Iceland,ISL,2024,"Europe and Northern America",Iceland
India,IND,2024,"Central and Southern Asia",India
Indonesia,IDN,2024,"Eastern and South-Eastern Asia",Indonesia
Iran,IRN,2024,"Central and Southern Asia",Iran
Iraq,IRQ,2024,"Northern Africa and Western Asia",Iraq
Ireland,IRL,2024,"Europe and Northern America",Ireland
"Isle of Man",IMN,2024,"Europe and Northern America","Isle of Man"
Israel,ISR,2024,"Northern Africa and Western Asia",Israel
Italy,ITA,2024,"Europe and Northern America",Italy
Jamaica,JAM,2024,"Latin America and the Caribbean",Jamaica
Japan,JPN,2024,"Eastern and South-Eastern Asia",Japan
"Channel Islands",JEY,2024,"Europe and Northern America","Channel Islands"
Jordan,JOR,2024,"Northern Africa and Western Asia",Jordan
Kazakhstan,KAZ,2024,"Central and Southern Asia",Kazakhstan
Kenya,KEN,2024,"Sub-Saharan Africa",Kenya
Kiribati,KIR,2024,Oceania,Kiribati
Kuwait,KWT,2024,"Northern Africa and Western Asia",Kuwait
Kyrgyzstan,KGZ,2024,"Central and Southern Asia",Kyrgyzstan
Laos,LAO,2024,"Eastern and South-Eastern Asia",Laos
Latvia,LVA,2024,"Europe and Northern America",Latvia
Lebanon,LBN,2024,"Northern Africa and Western Asia",Lebanon
Lesotho,LSO,2024,"Sub-Saharan Africa",Lesotho
Liberia,LBR,2024,"Sub-Saharan Africa",Liberia
Libya,LBY,2024,"Northern Africa and Western Asia",Libya
Liechtenstein,LIE,2024,"Europe and Northern America",Liechtenstein
Lithuania,LTU,2024,"Europe and Northern America",Lithuania
Luxembourg,LUX,2024,"Europe and Northern America",Luxembourg
Macao,MAC,2024,"Eastern and South-Eastern Asia",Macao
Madagascar,MDG,2024,"Sub-Saharan Africa",Madagascar
Malawi,MWI,2024,"Sub-Saharan Africa",Malawi
Malaysia,MYS,2024,"Eastern and South-Eastern Asia",Malaysia
Maldives,MDV,2024,"Central and Southern Asia",Maldives
Mali,MLI,2024,"Sub-Saharan Africa",Mali
Malta,MLT,2024,"Europe and Northern America",Malta
"Marshall Islands",MHL,2024,Oceania,"Marshall Islands"
Martinique,MTQ,2024,"Latin America and the Caribbean",Martinique
Mauritania,MRT,2024,"Sub-Saharan Africa",Mauritania
Mauritius,MUS,2024,"Sub-Saharan Africa",Mauritius
Mayotte,MYT,2024,"Sub-Saharan Africa",Mayotte
Mexico,MEX,2024,"Latin America and the Caribbean",Mexico
"Micronesia (country)",FSM,2024,Oceania,"Micronesia (country)"
Moldova,MDA,2024,"Europe and Northern America",Moldova
Monaco,MCO,2024,"Europe and Northern America",Monaco
Mongolia,MNG,2024,"Eastern and South-Eastern Asia",Mongolia
Montenegro,MNE,2024,"Europe and Northern America",Montenegro
Montserrat,MSR,2024,"Latin America and the Caribbean",Montserrat
Morocco,MAR,2024,"Northern Africa and Western Asia",Morocco
Mozambique,MOZ,2024,"Sub-Saharan Africa",Mozambique
Myanmar,MMR,2024,"Eastern and South-Eastern Asia",Myanmar
Namibia,NAM,2024,"Sub-Saharan Africa",Namibia
Nauru,NRU,2024,Oceania,Nauru
Nepal,NPL,2024,"Central and Southern Asia",Nepal
Netherlands,NLD,2024,"Europe and Northern America",Netherlands
"New Caledonia",NCL,2024,Oceania,"New Caledonia"
"New Zealand",NZL,2024,"Australia and New Zealand","New Zealand"
Nicaragua,NIC,2024,"Latin America and the Caribbean",Nicaragua
Niger,NER,2024,"Sub-Saharan Africa",Niger
Nigeria,NGA,2024,"Sub-Saharan Africa",Nigeria
Niue,NIU,2024,Oceania,Niue
"Norfolk Island",NFK,2024,"Australia and New Zealand",Australia
"North Korea",PRK,2024,"Eastern and South-Eastern Asia","North Korea"
"North Macedonia",MKD,2024,"Europe and Northern America","North Macedonia"
"Northern Mariana Islands",MNP,2024,Oceania,"United States"
Norway,NOR,2024,"Europe and Northern America",Norway
Oman,OMN,2024,"Northern Africa and Western Asia",Oman
Pakistan,PAK,2024,"Central and Southern Asia",Pakistan
Palau,PLW,2024,Oceania,Palau
Palestine,PSE,2024,"Northern Africa and Western Asia",Palestine
Panama,PAN,2024,"Latin America and the Caribbean",Panama
"Papua New Guinea",PNG,2024,Oceania,"Papua New Guinea"
Paraguay,PRY,2024,"Latin America and the Caribbean",Paraguay
Peru,PER,2024,"Latin America and the Caribbean",Peru
Philippines,PHL,2024,"Eastern and South-Eastern Asia",Philippines
Pitcairn,PCN,2024,Oceania,"United Kingdom"
Poland,POL,2024,"Europe and Northern America",Poland
Portugal,PRT,2024,"Europe and Northern America",Portugal
"Puerto Rico",PRI,2024,"Latin America and the Caribbean","United States"
Qatar,QAT,2024,"Northern Africa and Western Asia",Qatar
Reunion,REU,2024,"Sub-Saharan Africa",Reunion
Romania,ROU,2024,"Europe and Northern America",Romania
Russia,RUS,2024,"Europe and Northern America",Russia
Rwanda,RWA,2024,"Sub-Saharan Africa",Rwanda
"Saint Barthelemy",BLM,2024,"Latin America and the Caribbean","Saint Barthelemy"
"Saint Helena",SHN,2024,"Sub-Saharan Africa","United Kingdom"
"Saint Kitts and Nevis",KNA,2024,"Latin America and the Caribbean","Saint Kitts and Nevis"
"Saint Lucia",LCA,2024,"Latin America and the Caribbean","Saint Lucia"
"Saint Martin (French part)",MAF,2024,"Latin America and the Caribbean","Saint Martin (French part)"
"Saint Pierre and Miquelon",SPM,2024,"Europe and Northern America","Saint Pierre and Miquelon"
"Saint Vincent and the Grenadines",VCT,2024,"Latin America and the Caribbean","Saint Vincent and the Grenadines"
Samoa,WSM,2024,Oceania,Samoa
"San Marino",SMR,2024,"Europe and Northern America","San Marino"
"Sao Tome and Principe",STP,2024,"Sub-Saharan Africa","Sao Tome and Principe"
"Saudi Arabia",SAU,2024,"Northern Africa and Western Asia","Saudi Arabia"
Senegal,SEN,2024,"Sub-Saharan Africa",Senegal
Serbia,SRB,2024,"Europe and Northern America",Serbia
Seychelles,SYC,2024,"Sub-Saharan Africa",Seychelles
"Sierra Leone",SLE,2024,"Sub-Saharan Africa","Sierra Leone"
Singapore,SGP,2024,"Eastern and South-Eastern Asia",Singapore
"Sint Maarten (Dutch part)",SXM,2024,"Latin America and the Caribbean","Sint Maarten (Dutch part)"
Slovakia,SVK,2024,"Europe and Northern America",Slovakia
Slovenia,SVN,2024,"Europe and Northern America",Slovenia
"Solomon Islands",SLB,2024,Oceania,"Solomon Islands"
Somalia,SOM,2024,"Sub-Saharan Africa",Somalia
"South Africa",ZAF,2024,"Sub-Saharan Africa","South Africa"
"South Georgia and the South Sandwich Islands",SGS,2024,"Latin America and the Caribbean","United Kingdom"
"South Korea",KOR,2024,"Eastern and South-Eastern Asia","South Korea"
"South Sudan",SSD,2024,"Sub-Saharan Africa","South Sudan"
Spain,ESP,2024,"Europe and Northern America",Spain
"Sri Lanka",LKA,2024,"Central and Southern Asia","Sri Lanka"
Sudan,SDN,2024,"Northern Africa and Western Asia",Sudan
Suriname,SUR,2024,"Latin America and the Caribbean",Suriname
"Svalbard and Jan Mayen",SJM,2024,"Europe and Northern America",Norway
Sweden,SWE,2024,"Europe and Northern America",Sweden
Switzerland,CHE,2024,"Europe and Northern America",Switzerland
Syria,SYR,2024,"Northern Africa and Western Asia",Syria
Tajikistan,TJK,2024,"Central and Southern Asia",Tajikistan
Tanzania,TZA,2024,"Sub-Saharan Africa",Tanzania
Thailand,THA,2024,"Eastern and South-Eastern Asia",Thailand
Togo,TGO,2024,"Sub-Saharan Africa",Togo
Tokelau,TKL,2024,Oceania,"New Zealand"
Tonga,TON,2024,Oceania,Tonga
"Trinidad and Tobago",TTO,2024,"Latin America and the Caribbean","Trinidad and Tobago"
Tunisia,TUN,2024,"Northern Africa and Western Asia",Tunisia
Turkey,TUR,2024,"Northern Africa and Western Asia",Turkey
Turkmenistan,TKM,2024,"Central and Southern Asia",Turkmenistan
"Turks and Caicos Islands",TCA,2024,"Latin America and the Caribbean","Turks and Caicos Islands"
Tuvalu,TUV,2024,Oceania,Tuvalu
Uganda,UGA,2024,"Sub-Saharan Africa",Uganda
Ukraine,UKR,2024,"Europe and Northern America",Ukraine
"United Arab Emirates",ARE,2024,"Northern Africa and Western Asia","United Arab Emirates"
"United Kingdom",GBR,2024,"Europe and Northern America","United Kingdom"
"United States of America",USA,2024,"Europe and Northern America","United States of America"
"United States Minor Outlying Islands",UMI,2024,Oceania,"United States"
"United States Virgin Islands",VIR,2024,"Latin America and the Caribbean","United States"
Uruguay,URY,2024,"Latin America and the Caribbean",Uruguay
Uzbekistan,UZB,2024,"Central and Southern Asia",Uzbekistan
Vanuatu,VUT,2024,Oceania,Vanuatu
Vatican,VAT,2024,"Europe and Northern America",Vatican
Venezuela,VEN,2024,"Latin America and the Caribbean",Venezuela
Vietnam,VNM,2024,"Eastern and South-Eastern Asia",Vietnam
"Wallis and Futuna",WLF,2024,Oceania,France
"Western Sahara",ESH,2024,"Northern Africa and Western Asia","Western Sahara"
Yemen,YEM,2024,"Northern Africa and Western Asia",Yemen
Zambia,ZMB,2024,"Sub-Saharan Africa",Zambia
Zimbabwe,ZWE,2024,"Sub-Saharan Africa",Zimbabwe
Taiwan,NULL,NULL,Taiwan,Taiwan
Antarctica,NULL,NULL,NULL,Antarctica
